language,networks,lattices
hye,0.8226198280604289,0.8728483685744292
ike,0.7949981617657013,0.8208319864679966
nds,0.24551729210774764,0.5490892364973405
emk,0.18365588753367446,0.4593012978657295
pan,0.6691848138370187,0.8092214939187949
ydd,0.5824539536695029,0.7657045646325239
eng,0.30683074388077236,0.6078273876468216
ese,0.9435795043577029,0.9479358321713709
epo,0.5790557164316501,0.705990716256481
eve,0.779511460724905,0.8273024953893635
evn,0.9079897618187552,0.9242103533261017
ewe,0.683144205607882,0.7923403710701562
fao,0.6523822799941,0.7521069768750496
fij,-0.6694455088792931,-0.02823300637707693
fin,0.769922,0.821064
fon,-0.07883842785864048,0.27441562227321514
fra,0.5391177477268644,0.7404250758028317
fur,0.5021449347870633,0.7145453722898909
gaa,0.2927764777955547,0.5840800596539364
gag,0.7598286874666925,0.8405372614264536
glg,0.6130374728550949,0.7848689238179687
lug,0.7928742914770963,0.8491261363999083
cab,0.6934450093994313,0.8360493064319339
kat,0.7689602243434517,0.8231576809511163
gjn,-0.07686154474033258,0.3976777879808183
gyr,0.7731174030364337,0.835048019295797
ztu,-0.4457020379586544,0.11782904198503186
gkp,0.6696176795179922,0.7951819349724197
guj,0.7877965561224489,0.8625350765306122
cnh,0.3496044827029532,0.5826350808306471
khk,0.913652566845453,0.930875944417944
hni,0.626779781680114,0.7603323914747078
fuv,0.5031005325119382,0.7208391417241441
haw,-1.5526560358603039,-0.46519140391205405
hil,-0.8617054561545442,-0.2805604101390521
hin,0.6529614153293176,0.8064379990501604
qvh,0.8211819913752363,0.8677911596172023
hus,-0.25067029362765514,0.35780989691795073
qwh,0.8233505661737022,0.864336926994563
hun,0.6582384437009495,0.7867865787261412
ibb,-0.0021292465474038735,0.4017644659402133
isl,0.736232072396538,0.820839608623041
ibo,0.3987493216155179,0.6381835051907354
ilo,-0.4372567798811089,-0.1115042667134758
ind,0.6755020621159835,0.8014746233482031
ina,0.1820064064809953,0.4670427510611087
gle,0.5783792646918771,0.7417860956198459
oss,0.6852890745854356,0.7958680911969235
ita,0.6837523671445673,0.8029745894986153
mzi,0.7137870511944386,0.7918102664195358
jav,0.7269603230059101,0.8354319309103301
dyo,0.7399480336460122,0.8019683928434533
kbd,0.8004093176349646,0.8876769691632449
kbp,0.5875438480419506,0.7847704233868513
kea,0.1236120594133513,0.5136707865158427
kal,0.9145190757889214,0.9236306308024538
kan,0.9148884433809739,0.9311454993948688
kqn,0.7486957739574945,0.8408581632295788
cak,-0.5610354667169037,-0.0715951582689931
krl,0.7306911017414525,0.8064423485588091
xsm,-0.32484222168906396,0.2926575768326879
kaz,0.8960184666182591,0.9235196857760509
kek,-0.19626384414441367,0.2761663497723438
kjh,0.7192336059210186,0.8268448191087419
kha,-0.9442408224512253,-0.10078021562878181
buc,0.7473067863352538,0.8521951110495287
quc,0.2118841628766609,0.5174216074237098
kmb,0.2584140935109145,0.5497195606024032
lin,-0.9892142660789904,-0.31006582702123553
kin,0.8823222156871815,0.9056961029863667
kir,0.8038202819759906,0.8573004114138523
ktu,-1.0113424599982026,-0.1766954947424043
koi,0.8536542824534334,0.8989636406030629
koo,0.883777363531473,0.9095443156072373
kor,0.8762866715157928,0.9098999316714056
kri,0.08505686637352206,0.4319119906564637
fkv,0.6568108803619137,0.7631394548345326
lld,0.6057706289638818,0.8002525139539826
lad,0.3515588608250091,0.5918867424046375
lns,0.5868806535952459,0.7186819280876872
lao,-1.2003583545246876,-1.0179054116459063
lat,0.8208564542129084,0.8778713807427615
lav,0.7090485215048576,0.8119989501352859
lij,0.4936351328159265,0.7224835529452147
lit,0.7602231292517008,0.8492335600907029
lob,0.40621762157421193,0.6565529516273346
src,0.20080350946625003,0.4822338845209462
loz,-0.20406322332005344,0.29089754009829183
lua,0.399946600990449,0.6583019628414777
lun,0.8172911213513584,0.9053393085329509
lue,0.8659872973652929,0.9094155559733028
mkd,0.4872179954284547,0.6415241688167748
mad,0.7136041159208837,0.8354885687496731
mag,0.12982242131119281,0.4192005152433448
mai,0.8527298782095889,0.8932483056421402
vmw,0.739590246005394,0.8244577921429462
kde,0.3847807358237413,0.5842412259021256
mal,0.9347189349112426,0.9366420118343195
mlt,0.7334724191780075,0.8108341768403095
mam,0.43049468039022787,0.6395380022182658
glv,0.47226292440018103,0.7363418741511996
swb,0.21055733373977548,0.48074514386357103
mri,-1.1250392265843856,-0.35791413694301155
arn,0.08280123501565306,0.3728213500085671
mar,0.8485068836071615,0.897452892048714
qvm,0.860188,0.900222
mah,-0.22642124444626432,0.3228942896337095
mcf,0.2959673029542327,0.7406993267676778
men,0.4900107725453986,0.7144136657433056
mxv,0.34050554016620505,0.5983656509695292
ote,-1.3719042129893806,-0.7552228873034171
mic,0.369079661514929,0.6172778598590434
hna,0.5579571759259259,0.7068132716049382
min,0.6794436204743346,0.827496731700928
miq,0.5796139376512385,0.7460855001877974
lus,0.45484136367590455,0.7338840760139964
mfq,0.010060302294619738,0.35274649541859193
heb,0.8925247959143295,0.9065952995198131
mnw,0.8839070498899773,0.8939150983205333
ltz,0.7268264461026361,0.8393481583178386
mos,-0.01878810783572704,0.3821315192743764
mxi,0.5252305200273123,0.7086379379020701
huu,0.6680241209178479,0.7938646051262543
gld,0.8763096007251836,0.9278603271436808
nav,0.6877236426111152,0.7911004062707564
ndo,0.7652371730128478,0.8947080127886964
hlt,0.5240160549238515,0.7043793738394651
nio,0.7233744021935998,0.8096006676173488
zdj,0.7176947621686557,0.8519297400187938
pcm,-0.19925082537565064,0.3670246903288874
niu,-2.468927648388634,-1.4043517858610048
not,0.4814985534010465,0.6516609418282548
tly,0.7804518424993057,0.8543722676011578
dip,0.5088078648565747,0.7068059415150125
qxn,0.7962680459462956,0.8629719993941358
kqs,0.4164842976984616,0.6192384864556036
kmr,0.7141208269413397,0.8154547446855139
pbu,0.3796917832053547,0.6227133401192715
hea,0.5411746776153392,0.7770276766826817
als,0.02627195133630722,0.3385040441827327
ykg,0.7790643238350863,0.8189437838325201
qvn,0.8845693996914961,0.9054443086491754
sme,0.7623922599304496,0.8354817876113396
ojb,0.84387717598316,0.8723097998596678
nob,0.6342297803013068,0.7668932995924672
nym,0.4864305054714697,0.6741948766579738
nyn,0.8745665622445474,0.9013405409565164
nba,0.3576624533705337,0.6035258664005725
nzi,0.36925595291987323,0.6622102308736985
chj,-0.02153673967483094,0.35148272614680787
oki,0.7230816568047338,0.8265988165680473
oaa,0.8394928189411694,0.9134704179129738
orh,0.613481528901447,0.7390677807088222
lot,0.5167802513493498,0.706452494609973
pbb,0.8621910401240345,0.9048991956456284
pau,-0.9153095815481155,-0.3490432509976452
pam,0.43156219842821275,0.6581533440864797
top,0.6118181750421132,0.6890717938015235
pap,0.12323546122020856,0.4492289930656721
gug,0.7876783501179242,0.8544982528432046
nso,-0.18243178817832795,0.37900759904650394
pcd,0.7746210145334607,0.8502365398967971
cpu,0.8252636734693878,0.8800711836734694
pis,-0.014358581505952928,0.40388904848542884
piu,0.7397822618824414,0.8622942557131039
ppl,0.10169360749971068,0.4131184925135776
plt,0.5309007059966784,0.6755021549432216
pon,0.3811020118915992,0.6107803421032765
pol,0.7419534006438414,0.8315673207041514
fuf,0.5234524222453463,0.7032350560758469
tsz,0.7220185541847028,0.8146631452489465
roh,0.615317648886615,0.7833272170598492
run,0.8510870356373001,0.9005996472663139
rus,0.7040632098765431,0.7956811851851852
sah,0.8442283567304248,0.8968861820912478
smo,-1.2972875911393364,-0.4493569411392301
sag,-2.6385813871436556,-1.8167247606882615
san,0.8587661161480149,0.8824684226447408
skr,0.7081333752850665,0.8342863549725306
sco,0.35425912998282794,0.6123182283731381
gla,0.4328758070380597,0.7094257623254488
sey,0.7851191656984159,0.8639037443979775
srr,0.47858769835221604,0.7000076207895138
crs,0.5998738239218268,0.7299952353768511
shn,0.8974786340881712,0.90286394193713
mcd,0.8495723385476269,0.8827063253036085
cbt,0.6898507342478992,0.7782020993852183
shk,0.5865975437836218,0.7574573265173463
shp,0.686729232228133,0.7858510070041154
sna,0.8720495389786371,0.926671864827628
cjs,0.8161240496327452,0.8829795078624898
jiv,0.8513112588689049,0.8916428080436535
sin,0.8921893178098149,0.9193824417580914
snn,0.7512066966586817,0.8373805301852449
slk,0.7856152199762187,0.8446163033425815
slv,0.7531912237445773,0.8406087339485173
som,0.7436230011890121,0.8579756498318469
snk,0.4603642320580732,0.6558290799768867
kng,-0.8835744714593806,-0.22777406225317998
alt,0.8281754963065558,0.8868738457987073
rar,-2.373747170961613,-1.17650222450705
hms,0.033082842915346355,0.5497445355420306
sot,-0.5341273087115883,0.30639018688200303
spa,0.35531330099630387,0.5595041493013699
arb,0.8573944577295441,0.9054728620992278
suk,0.6025265484257833,0.7520163887748244
sun,0.7195716059545493,0.8355953452608222
sus,0.6407705189938997,0.7927237240011085
swh,0.3053964010791812,0.6222182619242098
csw,0.12192913634355074,0.36622099577054534
ssw,0.9190876294356212,0.9411388752084584
swe,0.728911950840254,0.8261761862575407
tgl,-0.19175778065823368,0.17307116428275404
tah,-4.323007242464032,-2.9460110837777793
blt,0.651499368755657,0.8410867184931106
tgk,0.7779596541332566,0.8512535171136199
tam,0.9505428799108014,0.9552810154318292
tat,0.8749153393409101,0.9066339244847103
ctd,0.5372909447243127,0.6801706379892982
tel,0.9232157484476153,0.9375293962214295
kdh,0.6832767349251155,0.8109607675864046
tet,0.36264715803352354,0.6101047981951777
tha,0.3937519911545885,0.49375011712674044
bod,-0.41420118343195256,-0.41420118343195256
tca,-1.8045039231639688,-0.4443879583648964
tir,0.8323325139238317,0.9026141913243321
tem,0.4917605211468805,0.6666209211848403
tiv,-0.6885168363463537,0.021386858966341626
nhn,0.4653773223140496,0.7024851570247934
tob,-0.9650900482763249,-0.3987386010614149
toj,-1.0014877788252445,-0.506160294996685
tpi,-0.48632667729835366,0.2397913344264504
ton,-0.8627669232234225,-0.08182583526754761
toi,0.8301733175914994,0.8849117220441896
mto,0.4972827418880502,0.6166766738555044
cof,0.8157572976428453,0.8747225428694321
tsn,-0.3706939757614065,0.1179738746858
tur,0.8302849270218818,0.8696802841426582
tyv,0.843269908746693,0.8836045013637267
tzh,-0.3003900709917402,0.09470701618531241
ukr,0.7639024859160095,0.8384858687888991
umb,0.7874647565323911,0.8612802873847777
pov,0.05379795455597214,0.4358264303453808
hsb,0.7715740615474816,0.8463293306041422
ura,0.5827979165881096,0.7585632524046619
urd,0.666321117141289,0.8147762747138397
vai,0.03334982164090372,0.48379167657550537
ven,-0.11180520456252996,0.26435762584522915
vec,0.1514328813024317,0.42543311197173683
vep,0.7391518011265686,0.8197456505433237
vie,0.7340769460474927,0.8520223124332214
rmy,0.7576614748627918,0.8419637041446163
wwa,-0.30698389229997414,0.22352337244561926
wln,0.7979433289547757,0.8599878025896041
auc,0.6495846255767461,0.7698556009591426
war,0.09072124989323971,0.37089135994893896
guc,0.661228749638259,0.8041764926820558
cym,0.6482913609623902,0.8125152495126275
lia,0.11703574305373587,0.5319602876524878
pnb,0.5814582664405207,0.7428873936273297
wol,0.564708683891143,0.773948496259952
xho,0.9106276616827351,0.9278615845251348
yad,0.8841944029000739,0.9100855310407531
ame,0.6196711032808488,0.7717669719521635
guu,-3.8999555873386273,-2.187108284090481
yao,0.7826038008521647,0.8484173837923282
yap,0.46471001136291856,0.6661154361806398
yor,0.5875651483656155,0.7862203291934483
yua,-1.650706960142772,-1.043462700773349
zro,-0.18968907888960884,0.2920702651838887
zul,0.8953857334644933,0.9120827828212875
